"","Regions","DISTRICT","settlement","period","price_maize_g","price_maize_f","price_millet_f","price_beans","price_sorghum","price_oil","price_cassava","price_salt","price_dodo","price_milk","price_soap","price_firewood","price_charcoal","price_fish","price_underwear","price_pads","price_NKP","price_DAP","price_malathion","collection_order","Mean_Observed_quantity_cassava","Mean_Observed_quantity_dodo","Mean_Observed_quantity_fish","Mean_Observed_quantity_firewood","Mean_Observed_quantity_charcoal","Median_Observed_quantity_cassava","Median_Observed_quantity_dodo","Median_Observed_quantity_fish","Median_Observed_quantity_firewood","Median_Observed_quantity_charcoal","Max_Observed_quantity_cassava","Max_Observed_quantity_dodo","Max_Observed_quantity_fish","Max_Observed_quantity_firewood","Max_Observed_quantity_charcoal","Min_Observed_quantity_cassava","Min_Observed_quantity_dodo","Min_Observed_quantity_fish","Min_Observed_quantity_firewood","Min_Observed_quantity_charcoal","price_cassava_kg_max","price_dodo_kg_max","price_fish_kg_max","price_firewood_kg_max","price_cassava_kg_min","price_dodo_kg_min","price_fish_kg_min","price_firewood_kg_min","price_cassava_kg_median","price_dodo_kg_median","price_fish_kg_median","price_firewood_kg_median","monthly_HH_cereals","monthly_HH_beans","monthly_HH_sorghum","monthly_HH_oil","monthly_HH_salt","monthly_HH_milk","FMEB_regular","monthly_HH_leaves_max","monthly_HH_fish_max","monthly_HH_cassava_max","FMEB_max","monthly_HH_cassava_min","monthly_HH_leaves_min","monthly_HH_fish_min","FMEB_min","monthly_HH_cassava_median","monthly_HH_leaves_median","monthly_HH_fish_median","FMEB_median"
"11","South West","Kyegegwa","Kyaka II","Bi 2 - April",1200,2500,3000,2900,2000,6000,1000,1000,500,1000,4000,NA,8000,16666.67,NA,3500,NA,NA,NA,2,1.52352941176471,0.42,0.3375,NA,0.72,1.5,0.3,0.3,NA,0.6,2.5,0.7,0.8,-Inf,1.2,0.5,0.2,0.2,Inf,0.3,400,714.285714285714,20833.3375,NA,2000,2500,83333.35,NA,666.666666666667,1666.66666666667,55555.5666666667,NA,52200,78300,15000,22500,750,1500,165675,10714.2857142857,62500.0125,1200,404564.298214286,6000,37500,250000.05,411764.298214286,2000,25000,166666.7,359341.7
"12","South West","Kyegegwa","Kyaka II","NA - 	March",950,2250,3000,3250,2000,5625,690.4762,2800,833.3333,1000,3900,NA,1000,20833.335,NA,3000,NA,NA,NA,1,1.52352941176471,0.42,0.3375,NA,0.72,1.5,0.3,0.3,NA,0.6,2.5,0.7,0.8,-Inf,1.2,0.5,0.2,0.2,Inf,0.3,276.19048,1190.47614285714,26041.66875,NA,1380.9524,4166.6665,104166.675,NA,460.317466666667,2777.77766666667,69444.45,NA,41325,87750,15000,21093.75,2100,1500,168768.75,17857.1421428571,78125.00625,828.57144,436219.648392857,4142.8572,62499.9975,312500.025,441191.077032857,1380.9524,41666.665,208333.35,449524.9984
"13","West Nile","Adjumani","Adjumani","Bi 2 - April",1550,2750,4000,4500,1500,6000,1500,1750,750,2000,3300,4000,6000,34500,3000,3000,NA,NA,NA,2,1.46,0.5752,0.394,17.3333333333333,8.16666666666667,1.4,0.6,0.4,18,8.2,2.1,0.7,0.4,18,8.2,1,0.33,0.35,16,8.1,714.285714285714,1071.42857142857,86250,222.222222222222,1500,2272.72727272727,98571.4285714286,250,1071.42857142857,1250,86250,222.222222222222,67425,121500,11250,22500,1312.5,3000,226800,16071.4285714286,258750,2142.85714285714,744492.857142857,4500,34090.9090909091,295714.285714286,748921.428571429,3214.28571428571,18750,258750,517189.285714286
"14","West Nile","Adjumani","Adjumani","NA - NA",1500,1900,3300,3700,1500,6000,1200,750,5400,2500,3300,NA,NA,38000,NA,NA,NA,NA,NA,1,1.46,0.5752,0.394,17.3333333333333,8.16666666666667,1.4,0.6,0.4,18,8.2,2.1,0.7,0.4,18,8.2,1,0.33,0.35,16,8.1,571.428571428571,7714.28571428571,95000,NA,1200,16363.6363636364,108571.428571429,NA,857.142857142857,9000,95000,NA,65250,99900,11250,22500,562.5,3750,203212.5,115714.285714286,285000,1714.28571428571,807139.285714286,3600,245454.545454545,325714.285714286,812453.571428571,2571.42857142857,135000,285000,625783.928571429
"15","West Nile","Arua","Imvepi","Bi 2 - April",1500,2500,3500,5000,1800,5000,1000,1500,200,2000,3300,1000,4500,9000,2000,2500,NA,NA,NA,2,1.2,34.67,0.6167,1,2.0625,1,1,0.52,1,1.9,2,640,1,1,4.5,1,0.5,0.281,1,1,500,0.3125,9000,1000,1000,400,32028.4697508897,1000,1000,200,17307.6923076923,1000,65250,135000,13500,18750,1125,3000,236625,4.6875,27000,1500,488254.6875,3000,6000,96085.409252669,492754.6875,3000,3000,51923.0769230769,271523.076923077
"16","West Nile","Arua","Imvepi","NA - 	March",1000,1500,3475,4000,950,7937,950,1300,2000,2000,3000,NA,NA,14000,NA,NA,NA,NA,NA,1,1.2,34.67,0.6167,1,2.0625,1,1,0.52,1,1.9,2,640,1,1,4.5,1,0.5,0.281,1,1,475,3.125,14000,NA,950,4000,49822.0640569395,NA,950,2000,26923.0769230769,NA,43500,108000,7125,29763.75,975,3000,192363.75,46.875,42000,1425,426774.375,2850,60000,149466.192170818,431049.375,2850,30000,80769.2307692308,305982.980769231
"17","West Nile","Arua","Rhino","Bi 1 - May",1300,2500,3000,4200,1500,5500,1000,800,200,2000,3300,NA,4500,4500,NA,NA,NA,NA,NA,3,2.93333333333333,0.827777777777778,0.461538461538462,175.516666666667,1.83333333333333,3.1,1,0.4,12.05,1.8,4.5,1.2,1,1000,2.2,1,0.3,0.2,7.8,1.6,222.222222222222,166.666666666667,4500,NA,1000,666.666666666667,22500,NA,322.58064516129,200,11250,NA,56550,113400,11250,20625,600,3000,205425,2500,13500,666.666666666667,426850,3000,10000,67500,430516.666666667,967.741935483871,3000,33750,243142.741935484
"18","West Nile","Arua","Rhino","Bi 2 - April",1500,3000,3000,4500,1200,6000,1000,2000,200,2000,3300,1500,5000,4500,4000,2250,NA,NA,NA,2,2.93333333333333,0.827777777777778,0.461538461538462,175.516666666667,1.83333333333333,3.1,1,0.4,12.05,1.8,4.5,1.2,1,1000,2.2,1,0.3,0.2,7.8,1.6,222.222222222222,166.666666666667,4500,1.5,1000,666.666666666667,22500,192.307692307692,322.58064516129,200,11250,124.48132780083,65250,121500,9000,22500,1500,3000,220500,2500,13500,666.666666666667,463750,3000,10000,67500,467416.666666667,967.741935483871,3000,33750,336217.741935484
"19","West Nile","Arua","Rhino","NA - 	March",1250,2500,5000,5000,1000,6250,500,4000,2000,2000,2000,2000,1000,5000,NA,3000,NA,NA,NA,1,2.93333333333333,0.827777777777778,0.461538461538462,175.516666666667,1.83333333333333,3.1,1,0.4,12.05,1.8,4.5,1.2,1,1000,2.2,1,0.3,0.2,7.8,1.6,111.111111111111,1666.66666666667,5000,2,500,6666.66666666667,25000,256.410256410256,161.290322580645,2000,12500,165.97510373444,54375,135000,7500,23437.5,3000,3000,226312.5,25000,15000,333.333333333333,492625,1500,1e+05,75000,494458.333333333,483.870967741935,30000,37500,313239.554167742
"20","West Nile","Koboko","Lobule","Bi 2 - April",1500,2500,3000,5000,1000,5750,1000,1200,100,1000,3300,2000,5000,12500,1750,2500,40000,40000,6000,2,1.43636363636364,1.525,0.3,13.7,1.47142857142857,1.5,1.5,0.3,14,1.6,1.8,2.7,0.4,22,2,1,0.8,0.1,6,1,555.555555555556,37.037037037037,31250,90.9090909090909,1000,125,125000,333.333333333333,666.666666666667,66.6666666666667,41666.6666666667,142.857142857143,65250,135000,7500,21562.5,900,1500,237262.5,555.555555555556,93750,1666.66666666667,552480.555555556,3000,1875,375000,557147.222222222,2000,1000,125000,357087.5
"21","West Nile","Koboko","Lobule","NA - 	March",1125,3166.6665,3666.6665,3750,1180.55555,5500,1000,1600,833.3333,2000,2000,2000,550,17500,NA,3000,NA,NA,NA,1,1.43636363636364,1.525,0.3,13.7,1.47142857142857,1.5,1.5,0.3,14,1.6,1.8,2.7,0.4,22,2,1,0.8,0.1,6,1,555.555555555556,308.641962962963,43750,90.9090909090909,1000,1041.666625,175000,333.333333333333,666.666666666667,555.555533333333,58333.3333333333,142.857142857143,48937.5,101250,8854.166625,20625,1200,3000,194804.16285,4629.62944444444,131250,1666.66666666667,532816.659116667,3000,15624.999375,525000,537961.95825,2000,8333.333,175000,380137.49585
"22","West Nile","Lamwo","Palabek","Bi 2 - April",1200,2500,3000,3500,1400,6000,1000,1500,500,2000,3300,1000,5000,20000,3500,3000,NA,NA,NA,2,2.85238095238095,0.604444444444444,0.251111111111111,11.7,112.311111111111,3,0.6,0.2,11.25,1.6,3.5,0.9,0.7,14.2,1000,0.7,0.4,0.02,10.1,0.3,285.714285714286,555.555555555556,28571.4285714286,70.4225352112676,1428.57142857143,1250,1e+06,99.009900990099,333.333333333333,833.333333333333,1e+05,88.8888888888889,52200,94500,10500,22500,1125,3000,183525,8333.33333333333,85714.2857142857,857.142857142857,437397.619047619,4285.71428571429,18750,3e+06,442540.476190476,1000,12500,3e+05,305175
"23","West Nile","Lamwo","Palabek","NA - 	March",1000,3750,3500,2500,1000,5000,378,5000,2533,1200,3300,NA,NA,20000,NA,NA,NA,NA,NA,1,2.85238095238095,0.604444444444444,0.251111111111111,11.7,112.311111111111,3,0.6,0.2,11.25,1.6,3.5,0.9,0.7,14.2,1000,0.7,0.4,0.02,10.1,0.3,108,2814.44444444444,28571.4285714286,NA,540,6332.5,1e+06,NA,126,4221.66666666667,1e+05,NA,43500,67500,7500,18750,3750,1800,142050,42216.6666666667,85714.2857142857,324,424814.285714286,1620,94987.5,3e+06,426758.285714286,378,63325,3e+05,519984
"24","West Nile","Moyo","Palorinya","Bi 2 - April",1500,2400,3000,4000,1500,6000,2000,1500,200,2000,3300,3000,5000,5000,1750,2500,40000,40000,25000,2,2.395,0.584782608695652,0.384782608695652,9.1,1.45714285714286,2.2,0.7,0.4,5,1.5,3.8,0.95,0.5,16,1.8,0.5,0.2,0.1,4,1,526.315789473684,210.526315789474,10000,187.5,4000,1000,50000,750,909.090909090909,285.714285714286,12500,600,65250,108000,11250,22500,1125,3000,217875,3157.8947368421,30000,1578.94736842105,499357.894736842,12000,15000,150000,511460.526315789,2727.27272727273,4285.71428571429,37500,280531.168831169
"25","West Nile","Moyo","Palorinya","NA - 	March",1339.2857,1547.619,3333.333,2000,954.54545,5000,588.2353,1900,3095.2381,2000,2000,3000,6000,11111.11,NA,3000,NA,NA,NA,1,2.395,0.584782608695652,0.384782608695652,9.1,1.45714285714286,2.2,0.7,0.4,5,1.5,3.8,0.95,0.5,16,1.8,0.5,0.2,0.1,4,1,154.798763157895,3258.14536842105,22222.22,187.5,1176.4706,15476.1905,111111.1,750,267.379681818182,4421.76871428571,27777.775,600,58258.92795,54000,7159.090875,18750,1425,3000,145191.00915,48872.1805263158,66666.66,464.396289473684,410087.528826316,3529.4118,232142.8575,333333.3,414081.336915789,802.139045454546,66326.5307142857,83333.325,295727.628857143
"26","West Nile","Yumbe","Bidibidi","Bi 2 - April",1200,2300,3500,3000,1100,5000,1000,1500,200,1000,3300,3000,5500,12500,1000,2000,NA,NA,NA,2,2.11381818181818,0.609358974358974,0.418311688311688,3.92391304347826,98.16,2.2,0.475,0.3,3,1.5,4.2,1.4,1,7,1000,1,0.3,0.09,2.5,1,238.095238095238,142.857142857143,12500,428.571428571429,1000,666.666666666667,138888.888888889,1200,454.545454545455,421.052631578947,41666.6666666667,1000,52200,81000,8250,18750,1125,1500,162825,2142.85714285714,37500,714.285714285714,347967.857142857,3000,10000,416666.666666667,351682.142857143,1363.63636363636,6315.78947368421,125000,261491.925837321
"27","West Nile","Yumbe","Bidibidi","NA - 	March",1052.6316,3333.333,4166.6665,3333.333,909.0909,5000,425.72465,1400,3333.3333,1000,2000,2000,1000,16666.67,NA,3000,NA,NA,NA,1,2.11381818181818,0.609358974358974,0.418311688311688,3.92391304347826,98.16,2.2,0.475,0.3,3,1.5,4.2,1.4,1,7,1000,1,0.3,0.09,2.5,1,101.363011904762,2380.95235714286,16666.67,285.714285714286,425.72465,11111.111,185185.222222222,800,193.511204545455,7017.54378947368,55555.5666666667,666.666666666667,45789.4746,89999.991,6818.18175,18750,1050,1500,164637.91005,35714.2853571429,50000.01,304.089035714286,411146.087421429,1277.17395,166666.665,555555.666666667,412634.18275,580.533613636363,105263.156842105,166666.7,430730.835021651
